max_noise,accuracy
0.0,0.944500
0.1,0.902930
0.2,0.695280
0.3,0.510610
0.4,0.387430
0.5,0.302740
0.6,0.250940
0.7,0.218070
0.8,0.193200
0.9,0.175620
1.0,0.165880
