max_noise,accuracy
0.0,0.947900
0.1,0.904720
0.2,0.676660
0.3,0.464240
0.4,0.337760
0.5,0.257540
0.6,0.212560
0.7,0.184220
0.8,0.163520
0.9,0.151790
1.0,0.142540
