max_noise,accuracy
0.0,0.944500
0.1,0.836490
0.2,0.528910
0.3,0.354090
0.4,0.262180
0.5,0.210440
0.6,0.178890
0.7,0.159660
0.8,0.148300
0.9,0.139670
1.0,0.133200
